gmCode,mag,depth,dist,originTime,resid_0p1,resid_0p2,resid_0p3,resid_0p4,resid_0p5,resid_1p0,resid_2p0,resid_3p0,resid_4p0,resid_5p0,resid_10p0,vs30,evid,resid_10p0_c_ci95l,resid_10p0_c,resid_10p0_c_ci95u,resid_10p0 _phi_ci95l,resid_10p0 _phi,resid_10p0 _phi_ci95u,resid_10p0 _tau_ci95l,resid_10p0 _tau,resid_10p0 _tau_ci95u,resid_10p0 _intra,resid_10p0 _inter
345,4.28,8,209.51,735766.4,-1.6932,-0.78075,-0.43809,-0.04814,0.12825,0.76135,0.14949,0.43502,0.65121,0.54902,0.29641,1073,735766.4,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.55490058896843,0.242765651216653
351,4.04,3,113.7,735768.5,-0.37902,0.36968,0.61204,0.1065,-0.26304,-0.54436,-0.18337,-0.12974,0.07989,-0.08188,-0.01616,493,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.4705761376925,0.845871199940719
360,4.04,3,9.56,735768.5,-0.41519,-0.07645,-0.42182,-0.31245,-0.12432,1.28152,2.87768,3.82715,4.47712,4.97705,6.54631,615,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,5.0918938623075,0.845871199940719
364,4.04,3,44.14,735768.5,1.60886,2.03203,2.13866,1.40039,1.79982,3.20548,4.70504,5.62416,6.26176,6.76115,8.33211,410,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,6.8776938623075,0.845871199940719
372,4.04,3,164.26,735768.5,-0.83089,-0.23146,0.18173,0.7321,0.93662,0.89203,0.82921,0.73461,0.7028,0.77267,0.76988,989,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.684536137692496,0.845871199940719
373,4.04,3,146.18,735768.5,-0.66717,-0.1343,-0.3219,-0.54759,-0.58651,-0.59646,-0.80782,-0.29911,-0.58982,-0.62398,-0.51984,1016,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.9742561376925,0.845871199940719
374,4.04,3,169.78,735768.5,-0.33222,0.67611,0.07235,-0.23705,0.09891,0.41413,0.6724,0.37839,0.94207,1.09474,0.84407,700,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.610346137692496,0.845871199940719
377,4.04,3,214.2,735768.5,-1.26376,-0.03643,-0.63244,-0.23782,0.30124,0.82555,0.72326,0.98915,1.01532,1.25595,1.06909,1073,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.385326137692496,0.845871199940719
378,4.04,3,253.48,735768.5,-0.73676,-0.5765,-0.52966,-0.58208,-0.20082,-0.50657,-0.31142,0.07309,-0.26334,-0.43314,-0.36776,875,735768.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.8221761376925,0.845871199940719
381,4.05,4,95.3,735792.7,-0.60276,0.64211,0.75111,0.47495,0.46177,0.55911,0.53634,0.96947,1.1997,1.11197,0.83788,493,735792.7,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.324777862245334,-0.0954427999971111
399,4.05,4,134.63,735792.7,-0.16822,0.35511,0.08932,0.24438,0.36738,0.01233,-0.01902,0.70493,0.85275,0.78118,0.88526,989,735792.7,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.372157862245335,-0.0954427999971111
400,4.05,4,133.19,735792.7,-0.772,0.06424,-0.14178,-0.1399,-0.25396,-0.45775,-0.62711,-0.56956,-0.66249,-0.53552,-0.30346,1016,735792.7,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.816562137754665,-0.0954427999971111
401,4.05,4,165.43,735792.7,-0.52,0.33071,-0.09581,0.06225,-0.22109,0.48667,0.51768,1.42615,1.56503,1.38309,0.67053,700,735792.7,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.157427862245334,-0.0954427999971111
403,4.05,4,186.02,735792.7,-1.90686,-0.82531,-1.12795,-1.23906,-0.91423,-0.97159,-0.11231,-0.64846,-0.65373,-0.33618,-0.49893,1859,735792.7,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.01203213775467,-0.0954427999971111
404,4.05,4,223.52,735792.7,-2.39004,-1.05051,-1.02189,-0.69928,-0.15029,0.45636,0.4218,0.51825,0.94107,1.14786,0.92064,1073,735792.7,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.407537862245335,-0.0954427999971111
431,4.32,5,89.07,735830.5,-0.86311,-0.57637,-0.27298,-0.77245,-0.57053,-1.2873,-0.97437,-0.70079,-0.32893,-0.53439,-0.38521,493,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.744483958024448,-0.249270979727329
438,4.32,5,203.88,735830.5,-1.79511,-0.86334,-0.54548,-0.64731,-0.50169,-0.50114,-0.27229,0.13112,0.14946,-0.13993,-0.20351,853,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.562783958024448,-0.249270979727329
441,4.32,5,27.32,735830.5,-1.06537,-0.56617,0.46757,0.57645,0.43147,1.51909,2.96084,3.86858,4.50844,5.0044,6.54415,321,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,6.18487604197555,-0.249270979727329
449,4.32,5,79,735830.5,-1.29146,-0.79897,-0.95177,-1.0854,-1.44218,-1.45952,-1.05781,-0.68423,-0.27094,-0.11343,-0.40468,503,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.763953958024448,-0.249270979727329
450,4.32,5,149.02,735830.5,-1.05062,-0.96315,-0.81544,-0.43302,-0.64313,0.04188,-0.48239,-0.41242,-0.19254,0.144,0.04764,989,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.311633958024448,-0.249270979727329
451,4.32,5,151.52,735830.5,-1.54473,-1.27573,-0.95604,-0.86919,-1.04705,-1.20239,-0.87186,-0.93837,-0.93808,-1.00378,-0.91652,1016,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.27579395802445,-0.249270979727329
452,4.32,5,285.25,735830.5,-0.58755,-0.74127,-1.20453,-1.5502,-1.75572,-1.52703,-1.60251,-1.31013,-1.0222,-1.19394,-1.46242,670,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.82169395802445,-0.249270979727329
453,4.32,5,169.16,735830.5,-1.9086,-1.30748,-0.87732,-0.67207,-0.90847,-0.76521,-0.67299,-0.71877,-1.01959,-0.95039,-0.63083,1859,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.990103958024448,-0.249270979727329
454,4.32,5,234.58,735830.5,-2.84112,-1.74976,-1.63777,-1.16471,-0.8815,-0.67017,0.01825,0.00153,-0.00949,0.46354,0.45142,1073,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0921460419755522,-0.249270979727329
455,4.32,5,277.32,735830.5,-1.31039,-0.87217,-0.75769,-0.78182,-0.7047,-0.9234,-0.91647,-0.82617,-0.76779,-0.82757,-0.92735,875,735830.5,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.28662395802445,-0.249270979727329
518,4.16,4,218.26,735882.6,-1.2139,0.0884,0.07153,0.29918,0.32767,0.82482,1.10603,0.62114,0.64546,1.22648,1.16703,853,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.445490642986055,0.112994419262168
523,4.16,4,52.25,735882.6,0.59415,2.31025,2.61283,2.10752,1.89811,1.78331,1.56394,1.88045,2.24014,2.61002,4.1026,410,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,3.38106064298606,0.112994419262168
525,4.16,4,86.37,735882.6,-0.77475,-0.71945,-0.21746,0.20426,0.07484,0.47307,0.61111,1.02925,0.82406,0.63943,0.29668,378,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.424859357013945,0.112994419262168
528,4.16,4,64.4,735882.6,-0.66995,-0.62215,-0.23006,0.34947,0.40048,0.6673,0.7091,1.62298,1.52053,1.36504,1.01391,630,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.292370642986055,0.112994419262168
530,4.16,4,108.79,735882.6,0.16096,-0.11248,-0.16357,0.36337,0.66763,0.04899,0.075,0.96984,1.09557,1.00093,0.51626,989,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.205279357013945,0.112994419262168
533,4.16,4,220.35,735882.6,0.53216,0.83327,0.59396,0.42828,0.14375,0.34605,0.40503,0.1165,0.08827,0.20001,0.20523,670,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.516309357013945,0.112994419262168
534,4.16,4,282.89,735882.6,-1.87017,-0.87418,-0.25857,-0.66805,-0.89373,-0.30685,0.01897,0.60217,1.19361,1.32944,0.88344,512,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.161900642986055,0.112994419262168
535,4.16,4,227.28,735882.6,-1.29899,-1.17321,-1.01966,-0.74594,-0.5296,-0.9636,-1.11695,-0.78082,-0.64364,-0.99459,-1.10178,1859,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.82331935701394,0.112994419262168
536,4.16,4,198.27,735882.6,-2.0574,-0.90933,-1.02526,-1.1518,-1.18991,-0.34239,0.04801,0.70332,0.85892,0.61927,0.08139,1073,735882.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.640149357013945,0.112994419262168
539,4.9,8,252.62,735915.9,-1.18447,-0.15986,0.36822,0.65386,1.13544,0.90476,1.68864,1.07314,1.38193,1.3516,0.93082,439,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.264327186710199,0.0579478755380247
545,4.9,8,67.45,735915.9,-1.09353,0.12681,-0.33144,-0.37634,-0.38682,0.29921,0.33939,0.94348,0.87655,0.38247,0.22988,580,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.436612813289801,0.0579478755380247
550,4.9,8,189.51,735915.9,-0.49328,0.27999,0.6251,0.70476,0.61841,0.85163,1.07632,0.73135,0.86914,0.96986,0.75409,502,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0875971867101987,0.0579478755380247
551,4.9,8,206.78,735915.9,-1.4911,-0.38242,-0.06019,0.15669,0.60182,1.33032,1.15045,1.11361,0.96712,1.18829,0.93577,378,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.269277186710199,0.0579478755380247
552,4.9,8,175.88,735915.9,-0.76991,0.32328,0.85429,0.93074,0.93202,1.11486,0.40108,0.70921,0.81065,0.68547,0.70263,492,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0361371867101986,0.0579478755380247
553,4.9,8,196.5,735915.9,-1.01897,0.07778,0.67656,0.31501,0.2073,0.72699,1.02468,1.04946,0.64498,0.41206,0.52492,461,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.141572813289801,0.0579478755380247
554,4.9,8,164.57,735915.9,-0.75394,0.18841,0.45869,0.76046,0.71407,1.19127,1.09846,0.91662,0.99196,0.9526,0.90267,630,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.236177186710199,0.0579478755380247
555,4.9,8,166.94,735915.9,0.1153,0.84804,0.7507,0.65748,0.79783,0.93525,0.60386,0.93384,0.88412,0.55715,0.3448,448,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.321692813289801,0.0579478755380247
559,4.9,8,207.96,735915.9,-0.57628,0.77604,0.3629,0.2627,0.36512,1.03858,0.85825,0.80084,0.75913,0.96004,0.74509,368,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0785971867101987,0.0579478755380247
560,4.9,8,160.08,735915.9,-1.0034,0.06617,0.29613,0.36539,-0.06179,0.40158,0.31849,1.01263,0.98391,0.76914,0.51076,666,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.155732813289801,0.0579478755380247
561,4.9,8,106.09,735915.9,-0.9352,-0.02446,0.10755,0.09014,-0.11039,0.16492,0.78265,1.532,1.53434,1.38168,0.79358,989,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.127087186710199,0.0579478755380247
562,4.9,8,157.95,735915.9,-0.69649,-0.03014,-0.12086,0.13599,0.19532,0.99393,0.68389,1.42919,1.4526,1.36155,0.96697,700,735915.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.300477186710199,0.0579478755380247
629,4.12,6,139.28,736000.6,-0.37253,0.14032,-0.10523,-0.17433,0.40691,-0.00211,0.46334,0.53387,0.61675,0.44053,0.19003,796,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.326626928395246,-0.0918880093565309
647,4.12,6,77.31,736000.6,-0.04047,0.80671,0.33095,0.35656,0.40023,0.05046,-0.09482,0.2303,0.57948,0.54197,0.64893,374,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.132273071604754,-0.0918880093565309
650,4.12,6,158.32,736000.6,-0.05217,0.15176,0.30753,0.69556,0.68475,0.6513,0.22552,0.34053,0.61744,0.54683,0.26833,502,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.248326928395246,-0.0918880093565309
652,4.12,6,174.44,736000.6,-0.79847,0.36649,0.59249,0.75187,0.98114,0.55464,0.55089,0.53497,0.90182,0.83417,0.42249,461,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.0941669283952457,-0.0918880093565309
653,4.12,6,132.46,736000.6,-0.58006,-0.33787,-0.37603,0.16932,-0.24844,-0.33572,0.10616,0.38516,0.58184,0.47884,0.11352,630,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.403136928395246,-0.0918880093565309
654,4.12,6,164,736000.6,0.19132,0.74645,1.36468,1.30607,1.14518,1.20515,0.84449,0.70526,0.89765,0.9641,0.90328,448,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.386623071604754,-0.0918880093565309
655,4.12,6,158.33,736000.6,0.20785,0.87764,0.91203,1.0947,0.94305,0.94835,0.71648,0.71472,0.90517,0.98428,0.94714,509,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.430483071604754,-0.0918880093565309
660,4.12,6,185.59,736000.6,-1.24451,-0.34803,0.1439,0.14505,0.757,0.60275,0.38721,0.18696,0.32685,0.23815,0.29932,666,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.217336928395246,-0.0918880093565309
662,4.12,6,242.41,736000.6,-0.93466,0.20999,0.25379,0.56332,0.5847,0.91219,0.71301,0.80173,0.4889,0.47972,0.6874,1016,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.170743071604754,-0.0918880093565309
663,4.12,6,79.84,736000.6,-0.40992,-0.42781,-0.33115,-0.0511,-0.11357,0.35079,0.43878,0.19635,0.46534,0.52735,0.16889,700,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.347766928395246,-0.0918880093565309
664,4.12,6,221.08,736000.6,-1.05114,-0.10851,0.51891,0.95099,0.8976,0.62035,0.40112,0.58403,0.65387,0.58063,0.48831,521,736000.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.0283469283952457,-0.0918880093565309
708,4.07,4,45.76,736062.9,-0.19085,0.09466,0.93779,0.61749,0.41251,0.87236,0.90568,1.11241,1.45011,1.35811,0.99684,525,736062.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.446348305411167,-0.0580532431629438
709,4.07,4,88.66,736062.9,-0.30576,-0.35109,0.32471,0.18153,-0.23173,-0.50473,-0.20073,0.27949,0.40052,0.52084,0.32036,493,736062.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.230131694588833,-0.0580532431629438
726,4.07,4,31.04,736062.9,-0.40086,-0.23009,-0.11776,-0.57985,-0.88415,0.06318,0.09389,0.38055,0.46131,0.16561,0.55772,502,736062.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.00722830541116715,-0.0580532431629438
735,4.07,4,143.69,736062.9,-1.13774,-0.35596,-0.14972,0.44428,0.35401,-0.2339,-0.27515,0.18737,0.65075,0.72853,0.43049,989,736062.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.120001694588833,-0.0580532431629438
736,4.07,4,146.78,736062.9,-1.15059,-0.08782,-0.37516,-0.34055,-0.19335,-0.53878,-0.64511,-0.14843,-0.11942,-0.19465,-0.23188,1016,736062.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.782371694588833,-0.0580532431629438
737,4.07,4,153.7,736062.9,-0.76859,-0.44351,-0.23956,-0.27995,-0.06886,0.12692,0.37066,0.68588,1.15242,1.21975,0.75687,700,736062.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.206378305411167,-0.0580532431629438
740,4.07,4,232.85,736062.9,-2.29689,-0.88046,-1.01778,-1.06258,-0.74982,0.21925,0.38856,0.40419,0.53534,0.7603,0.67835,1073,736062.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.127858305411167,-0.0580532431629438
742,4.09,4,70.92,736073.2,-0.47808,0.2766,0.75904,0.43592,0.61898,1.36493,1.50222,1.66983,2.00704,1.91588,1.38932,664,736073.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.660884517211259,0.119890545036964
744,4.09,4,85.32,736073.2,-0.61849,0.29167,0.49147,0.35176,-0.17069,0.16177,0.17607,0.58001,0.77316,0.83003,0.45165,493,736073.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.276785482788741,0.119890545036964
768,4.09,4,40.08,736073.2,-0.65946,-0.36524,0.13584,0.62244,0.74234,0.94358,1.03545,1.08872,1.33334,1.33374,1.32935,502,736073.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.600914517211259,0.119890545036964
769,4.09,4,19.41,736073.2,-1.1993,-0.85956,-0.37889,-0.36457,-0.13192,0.3314,0.3713,0.53398,0.88579,0.76389,0.60238,630,736073.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.126055482788741,0.119890545036964
779,4.09,4,131.38,736073.2,-1.12504,-0.23784,-0.16813,0.32171,0.47434,-0.01444,0.06602,0.26131,0.72949,0.75913,0.40257,989,736073.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.325865482788741,0.119890545036964
781,4.09,4,156.89,736073.2,-0.5607,0.0441,-0.18456,-0.03325,0.12946,0.46836,0.84888,0.89155,1.35853,1.39076,0.85116,700,736073.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.122724517211259,0.119890545036964
784,4.09,4,233.31,736073.2,-2.25985,-1.07564,-0.60139,-0.35296,-0.19154,0.44788,0.27396,0.23741,0.73762,0.90455,0.78447,1073,736073.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0560345172112592,0.119890545036964
787,4.07,4,70.21,736081.9,-0.47863,0.01864,0.91357,0.16521,0.19952,1.2784,1.49937,1.74111,2.09473,1.99445,1.42034,664,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.773293895375524,0.0385011668726992
790,4.07,4,76.04,736081.9,-0.49762,-0.44716,-0.60217,-0.18019,0.165,1.21239,1.32497,1.52494,1.86382,1.76341,2.02569,578,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,1.37864389537552,0.0385011668726992
813,4.07,4,122.54,736081.9,-0.43127,0.40036,-0.04971,-0.4613,-0.67905,-0.25783,-0.33385,-0.12418,0.21183,0.32901,0.07809,500,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.568956104624476,0.0385011668726992
820,4.07,4,132.4,736081.9,-1.22896,-0.53107,-0.40825,0.0729,0.27875,-0.10806,-0.04672,0.31667,0.78668,0.83764,0.47393,989,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.173116104624476,0.0385011668726992
821,4.07,4,141.18,736081.9,-1.32877,-0.5663,-0.44123,-0.0778,-0.41225,-0.24846,-0.24102,-0.25984,-0.02077,0.23842,0.19434,1016,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.452706104624476,0.0385011668726992
822,4.07,4,155.18,736081.9,-0.72769,-0.50887,-0.04249,-0.08024,-0.22394,0.17596,0.81265,0.91096,1.42109,1.46167,0.89005,700,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.243003895375524,0.0385011668726992
823,4.07,4,272.44,736081.9,0.1055,-0.13993,-0.56476,-0.5321,-0.31804,-0.25515,-0.60464,-0.42235,-0.54422,-0.57012,-0.55701,670,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.20405610462448,0.0385011668726992
825,4.07,4,234.71,736081.9,-2.52079,-1.16361,-0.79051,-0.53425,-0.34489,0.42311,0.35501,0.31578,0.85117,0.97344,0.87954,1073,736081.9,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.232493895375524,0.0385011668726992
